prijem,mesicni,rocni,,vydaje,dluh,mesicni platba,,Investice vydaje,,,souhrn,,rocni,,,realita,goal,,predikce,poznamky,Asset change,Asset Goal,Asset  prediction,,pasivni CF,pasivni prijem,Investment/income,Prijem,Vydaje,Investment,CashFlow
,,,,,,,,,,,,,,,7/2028,,"99,619,375.00 Kč",,,,,"7,500,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,8/2028,,"107,619,375.00 Kč",,,,,"8,000,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,9/2028,,"116,119,375.00 Kč",,,,,"8,500,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,10/2028,,"125,119,375.00 Kč",,,,,"9,000,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,11/2028,,"134,619,375.00 Kč",,,,,"9,500,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,12/2028,,"144,619,375.00 Kč",,,,,"10,000,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,1/2029,,"156,286,041.67 Kč",,,,,"11,666,666.67 Kč",,,,,,,,,
,,,,,,,,,,,,,,,2/2029,,"169,619,375.00 Kč",,,,,"13,333,333.33 Kč",,,,,,,,,
,,,,,,,,,,,,,,,3/2029,,"184,619,375.00 Kč",,,,,"15,000,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,4/2029,,"201,286,041.67 Kč",,,,,"16,666,666.67 Kč",,,,,,,,,
,,,,,,,,,,,,,,,5/2029,,"219,619,375.00 Kč",,,,,"18,333,333.33 Kč",,,,,,,,,
,,,,,,,,,,,,,,,6/2029,,"239,619,375.00 Kč",,,,,"20,000,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,7/2029,,"261,286,041.67 Kč",,,,,"21,666,666.67 Kč",,,,,,,,,
,,,,,,,,,,,,,,,8/2029,,"284,619,375.00 Kč",,,,,"23,333,333.33 Kč",,,,,,,,,
,,,,,,,,,,,,,,,9/2029,,"309,619,375.00 Kč",,,,,"25,000,000.00 Kč",,,,,,,,,
,,,,,,,,,,,,,,,10/2029,,"336,286,041.67 Kč",,,,,"26,666,666.67 Kč",,,,,,,,,
,,,,,,,,,,,,,,,11/2029,,"364,619,375.00 Kč",,,,,"28,333,333.33 Kč",,,,,,,,,
,,,,,,,,,,,,,,,12/2029,,"394,619,375.00 Kč",,,,,"30,000,000.00 Kč",,,,,,,,,
